DateTime,AddedIPs,RemovedIPs
1528416996,0,1
1528420833,2,0
1528428508,0,3
1528432346,0,1
1528441961,0,1
1528447711,0,1
1528451455,1,0
1528455371,0,1
1528463063,1,0
1528476974,0,1
1528478892,0,1
1528486881,1,0
1528500516,0,1
1528502534,0,2
1528506274,0,2
1528515894,1,0
1528521643,1,0
1528525478,1,0
1528531299,1,0
1528537012,1,1
1528540834,2,0
1528544693,1,0
1528546604,2,0
1528548514,1,1
1528554285,1,0
1528558106,1,0
1528567713,1,0
1528569622,1,0
1528571543,0,1
1528575381,1,0
1528577312,1,0
1528589819,1,0
1528601327,1,0
1528603311,0,1
1528610940,1,0
1528612885,0,1
1528620535,1,0
1528622461,0,1
1528624368,0,1
1528626273,0,1
1528628220,0,2
1528632110,1,1
1528633960,1,2
1528635893,1,1
1528639997,1,0
1528651486,0,1
1528653398,1,0
1528655361,1,2
1528657307,1,0
1528659175,2,0
1528661075,1,0
1528663131,0,1
1528666383,0,1
1528670580,3,0
1528676343,2,0
1528682088,1,0
1528685936,1,0
1528687847,0,1
1528697333,0,1
1528704977,1,0
1528714895,1,0
1528716750,0,1
1528718686,0,1
1528720580,1,1
1528722525,1,0
1528724417,1,1
1528726349,1,1
1528730194,1,0
1528732206,1,0
1528736592,1,0
1528738615,0,2
1528740616,2,0
1528744599,1,2
1528746430,1,1
1528750336,1,0
1528752264,1,0
1528754191,2,0
1528756102,2,1
1528758116,0,2
1528761874,0,1
1528763777,1,1
1528767627,2,0
1528769541,1,2
1528788757,1,0
1528790663,1,0
1528792577,0,1
1528800278,0,1
1528806061,1,1
1528809858,1,1
1528811792,0,1
1528813700,1,1
1528815719,1,0
1528817564,1,1
1528819896,1,1
1528821875,1,0
1528823780,0,1
1528825712,1,1
1528827633,0,1
1528829536,1,0
1528831460,0,1
1528833391,1,1
1528835294,1,0
1528837112,0,1
1528838914,1,0
1528840950,0,1
1528842973,1,1
1528848736,0,1
1528854493,0,2
1528856427,1,0
1528858350,1,0
1528860256,0,1
1528862187,1,0
1528873726,2,0
1528877544,0,1
1528883300,1,0
1528889060,0,1
1528892903,0,1
1528896760,1,1
1528902508,0,2
1528906357,0,2
1528908267,0,1
1528910185,0,1
1528912116,0,1
1528915960,1,1
1528920754,0,1
1528922663,2,0
1528924594,0,2
1528926501,1,0
1528928440,1,2
1528943063,1,1
1528946187,1,1
1528948092,0,1
1528953856,1,1
1528963703,0,1
1528967536,1,0
1528969472,0,1
1528977135,0,1
1528984897,0,1
1529007857,0,2
1529009789,1,1
1529013745,0,1
1529016832,0,1
1529028283,0,1
1529032103,0,1
1529039794,0,1
1529047471,1,0
1529053303,0,1
1529057070,1,0
1529062820,1,0
1529075552,1,0
1529081308,1,0
1529083235,1,0
1529087081,1,0
1529096016,1,1
1529103762,0,1
1529107461,1,0
1529109399,2,0
1529113245,3,0
1529118989,2,0
1529124780,1,0
1529134588,0,1
1529148054,0,1
1529149944,1,0
1529163395,1,0
1529169143,0,2
1529173226,0,1
1529186676,0,1
1529189078,1,0
1529194845,1,3
1529196735,0,1
1529198659,0,1
1529200612,0,1
1529204502,0,1
1529210182,1,0
1529212121,0,1
1529227472,1,0
1529237076,0,1
1529238984,0,1
1529240920,1,0
1529246684,1,0
1529248586,0,1
1529275716,1,1
1529279533,1,0
1529281470,1,1
1529294896,0,1
1529298756,1,0
1529304506,1,0
1529312170,0,1
1529316097,1,0
1529317938,1,0
1529321793,1,0
1529329455,1,0
1529331386,0,1
1529354655,1,0
1529362590,0,1
1529366562,1,0
1529368585,1,0
1529372418,2,0
1529382034,2,0
1529393563,0,1
1529399309,1,0
1529401256,0,2
1529408902,1,1
1529412751,0,1
1529414909,0,1
1529439858,0,1
1529445703,1,0
1529448264,1,0
1529452114,1,1
1529454026,0,1
1529455951,1,0
1529457858,0,2
1529461694,0,1
1529469375,0,1
1529476952,1,0
1529482585,2,0
1529486433,0,1
1529488341,0,1
1529496104,0,1
1529497959,0,1
