DateTime,AddedIPs,RemovedIPs
1530600518,3,1
1530602421,1,5
1530604363,2,3
1530606276,4,2
1530608198,3,2
1530610102,3,0
1530612112,3,2
1530614518,2,2
1530616369,1,2
1530618257,0,3
1530620442,1,3
1530622344,1,1
1530628118,2,2
1530631973,0,2
1530636415,1,2
1530638338,0,73
1530640412,0,1
1530642268,0,3
1530644189,0,2
1530646040,1,3
1530651766,0,161
1530654126,0,2
1530655954,1,1
1530657859,2,0
1530659788,1,1
1530661821,2,1
1530663871,1,3
1530665794,0,3
1530667725,2,3
1530669700,3,2
1530671611,1,1
1530673720,3,2
1530675650,2,2
1530677557,1,0
1530679524,2,0
1530681383,4,1
1530683311,1,0
1530685222,1,0
1530687135,2,3
1530689065,3,1
1530690986,1,1
1530692923,6,4
1530694915,94,7
1530696760,1,2
1530698692,1,3
1530701368,3,2
1530703229,1,1
1530705143,0,1
1530707062,2,2
1530708983,5,1
1530710993,1,0
1530713128,3,0
1530715870,1,2
1530717895,1,0
1530723688,1,0
1530725568,1,0
1530727901,2,0
1530731794,2,2
1530735625,1,0
1530741395,1,0
1530743316,0,2
1530745360,3,1
1530747175,1,1
1530749076,3,2
1530751001,1,0
1530752908,4,0
1530754820,1,3
1530756742,2,1
1530758678,0,1
1530760830,8,5
1530762743,4,2
1530764675,3,2
1530766576,0,2
1530768500,0,3
1530770501,1,3
1530772426,1,2
1530774295,1,0
1530776184,0,3
1530778120,1,1
1530780023,5,49
1530781945,3,52
1530783883,8,1
1530785744,0,3
1530787727,2,1
1530789621,0,1
1530791579,1,1
1530793459,1,0
1530795694,1,5
1530797565,2,1
1530799474,1,1
1530801398,1,0
1530803332,1,0
1530805241,1,1
1530807194,2,0
1530809068,1,1
1530810999,1,1
1530812826,1,1
1530814829,1,0
1530818690,0,1
1530820594,2,0
1530822761,2,2
1530825326,3,1
1530827311,26,0
1530829236,2,1
1530831187,0,2
1530833262,3,0
1530835305,2,3
1530837180,1,1
1530839079,0,4
1530840996,2,0
1530842911,5,3
1530844843,1,0
1530846772,8,6
1530848677,1,5
1530850611,0,4
1530852507,0,1
1530854441,4,1
1530856380,4,1
1530858269,7,1
1530860196,1,1
1530862125,4,0
1530864096,9,1
1530865969,5,6
1530867897,1,3
1530869817,5,11
1530871965,1,0
1530874118,3,0
1530876040,3,1
1530877973,0,1
1530879886,2,1
1530881792,1,0
1530884587,3,5
1530886587,0,1
1530888924,2,0
1530890911,1,2
1530892913,2,1
1530896714,2,1
1530898586,3,0
1530900537,1,0
1530902438,1,0
1530904488,3,0
1530906305,1,0
1530908198,2,3
1530910106,3,1
1530912057,8,8
1530913950,0,23
1530915878,1,2
1530917797,1,0
1530921710,2,2
1530923567,2,2
1530925499,5,0
1530927406,5,2
1530929320,4,5
1530931222,1,1
1530933155,3,9
1530935100,9,0
1530936976,2,1
1530938913,10,0
1530941074,5,5
1530942994,4,3
1530944920,2,8
1530946894,0,2
1530948779,4,4
1530950704,0,10
1530952583,13,3
1530954509,3,3
1530956429,2,3
1530958604,3,1
1530960505,2,3
1530962427,1,3
1530964389,2,0
1530966284,3,1
1530968200,3,1
1530970102,1,0
1530972107,2,1
1530973954,2,3
1530977788,4,2
1530979738,2,2
1530981623,521,3
1530983589,0,2
1530985522,2,1
1530987396,0,2
1530989329,2,0
1530991220,1,2
1530993151,3,2
1530995077,0,2
1530996986,1,3
1530998899,6,5
1531000926,10,0
1531002764,2,1
1531004920,2,2
1531006835,1,1
1531008989,2,2
1531011169,11,3
1531013092,2,7
1531014980,3,4
1531016923,3,0
1531018910,4,3
1531020771,3,4
1531022691,0,6
1531024847,3,6
1531026765,3,3
1531028693,6,3
1531030606,2,4
1531032512,3,0
1531034445,3,4
1531036361,3,1
1531038277,5,3
1531040198,3,12
1531042103,4,2
1531044099,1,4
1531046198,2,3
1531048133,3,2
1531050037,1,2
1531051950,0,2
1531053864,2,3
1531055808,2,0
1531057704,3,2
1531060256,1,3
1531063478,1,2
1531065366,3,2
1531067422,0,522
1531069356,2,0
1531071377,1,2
1531075215,1,3
1531077402,1,1
1531079308,1,4
1531081108,1,1
1531083156,4,2
1531085048,2,6
1531088444,0,11
1531090349,1,0
1531092270,2,3
1531094520,2,1
1531096364,2,3
1531098286,2,14
1531100422,1,2
1531102343,3,3
1531104614,3,5
1531106436,3,2
1531108356,2,2
1531110509,4,0
1531112502,2,3
1531114348,9,5
1531116281,3,3
1531118188,1,4
1531120121,3,3
1531122021,7,1
1531123940,4,2
1531125881,3,6
1531127800,3,3
1531129727,7,2
1531131713,2,4
1531133550,2,0
1531135456,1,2
1531137385,0,1
1531139549,3,1
1531141494,2,2
1531143380,1,4
1531145313,2,1
1531147233,2,0
1531149174,0,1
1531151093,1,2
1531152990,4,0
1531154915,1,1
1531156822,0,1
1531158748,0,1
1531160663,26,0
1531162576,46,3
1531164514,3,1
1531166494,0,2
1531169411,2,3
1531171220,1,1
1531175072,2,0
1531177018,1,3
1531179160,2,1
1531181065,1,3
1531182976,2,2
1531184934,3,3
1531186853,4,1
1531188796,5,4
1531190692,8,3
1531192597,1,3
1531194513,4,3
1531196428,2,4
1531198582,3,1
1531200498,2,5
1531202505,5,5
1531204362,5,1
1531206266,3,1
1531208183,4,6
1531210108,2,2
1531212033,2,4
1531213956,6,4
1531215859,2,6
1531217801,2,0
1531219700,2,4
1531221633,2,1
1531223617,1,1
1531225475,6,3
1531227376,1,0
1531229570,5,3
1531231477,0,2
1531233393,1,2
1531235315,5,0
1531237244,0,1
1531239201,0,2
1531241091,4,1
1531244904,2,0
1531246821,1,16
1531248753,2,55
1531250731,0,4
1531252622,1,0
1531254510,1,2
1531256502,2,1
1531258358,2,1
1531260289,0,2
1531262200,2,2
1531264133,0,1
1531266022,1,0
1531267973,1,4
1531269859,5,4
1531271788,1,4
1531273716,2,3
1531275635,4,5
1531277605,1,8
1531279459,0,2
1531281385,7,4
1531283567,1,2
1531285734,4,1
1531287687,5,4
1531289551,2,2
1531291485,3,6
1531293419,5,5
1531295315,3,3
1531297235,4,1
1531299159,3,4
1531301070,2,4
1531303001,1,2
1531304906,2,3
1531306905,1,2
1531308778,1,2
1531310693,2,4
1531312595,1,2
1531314517,4,4
1531316443,0,4
1531318370,18,0
1531320310,1,1
1531322196,1,3
1531326409,1,1
1531328497,0,3
1531330351,1,3
1531332264,1,1
1531334432,1,3
1531338283,1,1
1531340199,0,1
1531342114,0,1
1531344036,3,2
1531345960,0,1
1531350100,0,3
1531351945,1,2
1531353878,1,1
1531355791,1,5
1531357724,5,2
1531359617,3,1
1531361560,2,4
1531363469,2,1
1531365406,2,1
1531367302,1,5
1531369219,2,2
1531371160,2,2
1531373056,2,4
1531374996,2,2
1531376901,1,5
1531378894,1,1
1531380747,0,5
1531382680,4,5
1531384591,2,3
1531386527,0,4
1531388417,3,1
1531390357,2,1
1531392301,0,3
1531394192,1,1
1531396112,0,3
1531398038,4,0
1531400003,0,2
1531401886,2,2
1531403790,1,0
1531405702,1,18
1531407696,1,1
1531409557,1,1
1531413417,13,0
1531415294,2,0
1531417229,3,0
1531419139,2,1
1531421053,0,1
1531427058,1,0
1531429011,3,0
1531430920,0,3
1531434405,3,0
1531436438,0,1
1531438336,1,1
1531440511,2,1
1531442459,2,4
1531444348,3,2
1531446276,4,3
1531448177,6,2
1531451308,6,4
1531453213,6,1
1531455154,6,0
1531457101,4,3
1531459009,1,2
1531461159,2,1
1531463059,1,1
1531464990,0,2
1531466895,2,1
1531468896,0,2
1531470763,2,1
1531472729,3,0
1531474593,1,3
1531476531,1,3
1531478440,1,0
1531480432,1,2
1531482276,2,2
1531484185,1,3
1531486097,3,1
1531488032,1,1
1531490185,4,1
1531492091,1,0
1531493914,1,1
1531495760,0,1
1531498607,0,2
1531500496,0,7
1531504335,0,4
1531508169,2,0
1531510819,2,2
1531512738,2,0
1531514675,3,1
1531516624,100492,68
1531520471,531,1
1531524297,1,0
1531526253,2,0
1531528181,1,0
1531530403,2,0
1531532443,2,0
1531534368,2,0
1531538210,1,0
1531543980,2,0
1531547799,1,0
1531549732,1,0
1531554513,1,0
1531556438,2,0
1531558379,1,0
1531560525,1,0
1531563634,1,0
1531565551,1,0
1531570614,1,0
1531574462,1,0
1531578265,1,0
1531580181,2,0
1531582352,1,0
1531586591,1,0
1531588598,1,0
1531590567,2,0
1531594375,3,0
1531596328,1,0
1531605943,3,0
1531607827,1,0
1531609727,1,0
1531611642,1,0
1531613595,9,0
1531615482,1,0
1531617643,1,0
1531619802,4,0
1531621960,1,0
1531625802,1,0
1531627965,2,0
1531632047,1,0
1531638317,1,0
1531644022,1,0
1531649799,1,0
1531651707,1,0
1531657729,2,0
1531664435,2,0
1531666387,4,0
1531673582,41,0
1531677927,2,0
1531679808,2,0
