DateTime,AddedIPs,RemovedIPs
1530168263,2,0
1530170179,2,2
1530172114,1,0
1530174014,0,1
1530179794,1,1
1530189641,1,0
1530193457,1,0
1530195395,2,1
1530201392,0,1
1530203302,0,1
1530207163,1,1
1530209079,0,1
1530210994,0,1
1530214816,1,0
1530217117,1,2
1530219148,0,1
1530221095,0,1
1530222969,0,1
1530224888,1,0
1530226897,1,2
1530228741,1,0
1530231309,2,1
1530233456,0,1
1530235610,0,1
1530239477,0,1
1530241898,2,2
1530243762,0,1
1530245776,1,1
1530247599,0,2
1530249622,0,1
1530251544,1,0
1530254660,0,2
1530256578,0,2
1530260419,1,0
1530262369,1,0
1530264266,1,0
1530266191,0,1
1530271984,1,0
1530273911,2,0
1530275801,2,1
1530277709,1,0
1530279626,1,1
1530281542,1,2
1530286501,2,0
1530288518,1,0
1530290424,1,0
1530294253,2,1
1530296805,2,0
1530301949,1,1
1530303874,0,1
1530307706,2,0
1530311559,1,2
1530313469,2,1
1530315374,0,2
1530317313,0,1
1530323068,1,0
1530326893,1,1
1530328807,0,1
1530330979,1,0
1530332892,1,1
1530335779,1,0
1530337711,1,1
1530341558,1,0
1530347311,1,1
1530350189,0,2
1530354010,2,0
1530355947,2,0
1530357852,0,1
1530359766,1,1
1530361741,0,1
1530363639,3,2
1530365803,1,2
1530367700,0,1
1530369653,1,0
1530371550,0,2
1530373479,1,1
1530375377,2,0
1530377324,0,1
1530379212,1,1
1530381130,1,3
1530383067,1,0
1530386896,2,0
1530389778,2,1
1530391726,2,0
1530393613,1,2
1530395529,1,0
1530397584,0,1
1530400648,3,1
1530408640,1,1
1530410550,1,0
1530412588,1,1
1530416662,1,1
1530418585,0,1
1530420509,1,1
1530422417,1,0
1530424338,1,0
1530426262,0,1
1530430126,0,1
1530432105,1,0
1530433978,0,1
1530437809,1,0
1530439720,1,1
1530443550,2,2
1530445497,1,1
1530449535,1,1
1530451474,20468,0
1530455292,2,20470
1530457255,1,1
1530461067,0,1
1530462977,1,2
1530464901,0,2
1530466806,1,2
1530468743,0,1
1530470715,1,0
1530472591,0,1
1530474572,1,2
1530476425,0,1
1530478333,2,2
1530480269,0,1
1530482176,0,2
1530484100,1,0
1530486060,1,3
1530487947,1,0
1530489856,1,0
1530491793,1,0
1530493740,2,0
1530495617,1,2
1530497611,1,1
1530499477,2,1
1530501391,2,0
1530503297,0,1
1530507397,1,2
1530512192,3,1
1530514099,1,0
1530516026,1,0
1530517970,0,1
1530519874,1,0
1530521722,1,0
1530523699,1,0
1530525690,0,2
1530528098,1,0
1530529953,0,2
1530531853,1,1
1530535703,1,0
1530537617,0,1
1530539674,0,2
1530541715,1,0
1530543640,0,1
1530545543,1,0
1530549372,1,0
1530560894,3,1
1530564787,0,2
1530571002,0,1
1530572912,3,2
1530574883,2,0
1530576777,1,2
1530578656,1,1
1530580656,2,2
1530582770,1,1
1530584653,2,2
1530586905,2,4
1530590668,1,0
1530592723,1,0
1530594750,0,1
1530598577,1,2
1530600514,1,2
1530602417,1,1
1530604359,1,1
1530606272,0,1
1530608194,2,1
1530610098,0,1
1530618253,2,1
1530622341,0,1
1530628114,1,1
1530631969,0,1
1530633807,1,0
1530636409,0,1
1530642264,1,0
1530644184,1,0
1530646035,1,0
1530647917,3,2
1530649832,1,0
1530654120,1,0
1530655949,2,0
1530657854,1,0
1530659783,1,3
1530661815,0,2
1530663864,1,1
1530665788,1,2
1530667720,1,1
1530670581,1,2
1530672494,0,3
1530676338,1,1
1530678258,1,1
1530680176,1,0
1530685054,2,1
1530686905,0,1
1530688823,0,1
1530690758,1,1
1530694888,0,1
1530696753,1,0
1530698686,1,0
1530701361,1,0
1530705137,1,2
1530708977,1,1
1530710987,1,0
1530713121,1,0
1530715864,0,1
1530717888,1,0
1530719792,0,1
1530727893,0,1
1530729885,1,1
1530731789,2,1
1530733725,1,1
1530735620,1,1
1530741386,0,1
1530743311,0,1
1530745353,0,2
1530749070,1,0
1530750996,0,1
1530752903,0,1
1530754814,0,2
1530762738,0,1
1530764670,0,1
1530766570,0,6
1530772421,1,1
1530778111,0,1
1530781937,2,0
1530783875,0,2
1530785736,1,1
1530787719,2,0
1530791572,1,1
1530795646,1,1
1530797559,0,1
1530799467,0,1
1530805235,0,1
1530816738,3,0
1530818683,1,3
1530820586,0,1
1530825319,1,0
1530833255,1,0
1530836193,1,2
1530843865,1,0
1530845799,2,0
1530851558,3,0
1530859218,0,1
1530861163,2,0
1530863075,2,1
1530866927,0,1
1530868837,1,1
1530872594,0,2
1530874597,0,1
1530878504,2,1
1530882289,0,1
1530884581,2,0
1530888917,1,0
1530890904,1,0
1530896708,2,0
1530902432,1,2
1530904482,1,2
1530906298,1,0
1530912050,0,1
1530915873,2,0
1530921661,1,0
1530923563,1,0
1530925494,2,0
1530929312,2,0
1530931217,0,3
1530933150,1,0
1530935095,1,0
1530936971,0,1
1530938907,1,2
1530941069,1,0
1530942988,2,0
1530947792,1,2
1530949705,1,2
1530953591,0,1
1530955480,1,1
1530959298,1,0
1530962194,1,0
1530964091,1,2
1530966277,1,0
1530970095,0,1
1530972989,0,1
1530977328,1,2
1530983062,0,1
1530984993,0,1
1530988815,1,1
1530990761,2,1
1530992701,1,1
1530994592,2,0
1530998432,1,0
1531002279,1,1
1531004915,2,2
1531008984,3,1
1531011164,0,2
1531013087,0,1
1531014975,1,2
1531016918,1,0
1531019802,0,1
1531021721,0,1
1531023891,1,0
1531027694,0,2
1531030601,1,1
1531032507,1,1
1531034440,1,0
1531036356,1,1
1531038272,1,0
1531040194,1,0
1531048128,1,2
1531051946,0,2
1531053859,2,0
1531062278,2,1
1531064307,0,1
1531072474,1,0
1531074489,1,0
1531076508,3,1
1531078344,0,2
1531080271,1,1
1531082183,1,1
1531086253,1,1
1531088438,0,1
1531090344,0,1
1531092265,0,2
1531095389,0,3
1531099234,1,0
1531101130,0,1
1531103297,2,1
1531105464,1,0
1531107373,1,0
1531109320,1,1
1531113408,1,0
1531117223,0,1
1531119144,1,1
1531121068,0,1
1531122992,1,0
1531124894,1,1
1531127798,0,1
1531131712,1,0
1531135455,1,1
1531139548,0,1
1531141493,0,1
1531143379,1,0
1531149172,0,2
1531152987,1,1
1531156820,1,0
1531160661,0,1
1531162574,0,2
1531164512,0,1
1531166489,0,1
1531169408,1,1
1531173150,0,1
1531177016,2,0
1531181063,2,0
1531186851,1,1
1531188794,0,2
1531190687,0,2
1531194508,0,1
1531196424,0,1
1531198577,1,0
1531210105,1,2
1531213952,1,0
1531215855,1,0
1531217797,0,1
1531221628,0,1
1531223611,2,0
1531227371,1,0
1531229565,1,0
1531231473,2,0
1531233389,1,1
1531235310,1,0
1531237239,1,0
1531239196,0,1
1531244900,2,2
1531250727,1,0
1531252617,1,0
1531254504,0,1
1531262195,0,1
1531264128,1,0
1531266017,0,2
1531267968,0,2
1531273710,0,1
1531277599,2,0
1531281380,1,0
1531283561,0,1
1531291480,2,1
1531295310,1,0
1531297230,0,1
1531299153,3,0
1531301065,0,1
1531302996,0,1
1531306899,1,0
1531310687,0,1
